No.Inscripción,comentarios,Nombre,TIPO,LOCALIDAD,DIRECCIÓN,UPZ,TELEFONO,FECHA-DE- INSCRIPCION
190,,JARDÍN INFANTIL DE TECHO,PRI,KENNEDY,"KR 78 F 1 20","KENNEDY CENTRAL",4537160 - 3143956964,11/01/2007218,,LICEO PEQUEÑOS QUERUBINES,PRI,FONTIBÓN,CL 22 BIS 93 B 07,MODELIA,4210843,19/01/2007
218,,LICEO PEQUEÑOS QUERUBINES,PRI,FONTIBÓN,CL 22 BIS 93 B 07,MODELIA,4210843,19/01/2007256,,TALLERES Y ESPECTÁCULOS ESPANTAPAJAROS,PRI,USAQUÉN,KR 19 A 104 A 60,SANTA BÁRBARA,6297828 - 6200754,24/01/2007
256,,TALLERES Y ESPECTÁCULOS ESPANTAPAJAROS,PRI,USAQUÉN,KR 19 A 104 A 60,SANTA BÁRBARA,6297828 - 6200754,24/01/2007258,CONTROL,JARDÍN INFANTIL AMOR Y SABIDURÍA,PRI,BOSA,CL 56 F SUR 93 A 14,EL PORVENIR,7235923 - 4614255,25/01/2007
258,CONTROL,JARDÍN INFANTIL AMOR Y SABIDURÍA,PRI,BOSA,CL 56 F SUR 93 A 14,EL PORVENIR,7235923 - 4614255,25/01/2007259,,ALLEGRO PREESCOLAR,SED-PRI,USAQUÉN,CL 134 A 11 09,LOS CEDROS,2741624,25/01/2007
259,,ALLEGRO PREESCOLAR,SED-PRI,USAQUÉN,CL 134 A 11 09,LOS CEDROS,2741624,25/01/2007264,,ASPAEN MATERNAL Y PREESCOLAR ATAVANZA,PRI,USAQUÉN,KR 14 A 119 71,"SANTA BÁRBARA",6123769,26/01/2007
264,,ASPAEN MATERNAL Y PREESCOLAR ATAVANZA,PRI,USAQUÉN,KR 14 A 119 71,"SANTA BÁRBARA",6123769,26/01/2007270,,JARDÍN INFANTIL MI CASITA FELIZ,PRI,KENNEDY,DG 2 F 79 F 20,CASTILLA,2928074,28/01/2007
270,,JARDÍN INFANTIL MI CASITA FELIZ,PRI,KENNEDY,DG 2 F 79 F 20,CASTILLA,2928074,28/01/2007273,,CENTRO DE ESTIMULACIÓN ADECUADA Y NIVELACION ESCOLAR CHICOS Y BEBES,PRI,USAQUÉN,CL 152 A 17 25,LOS CEDROS,2792357,29/01/2007
273,,CENTRO DE ESTIMULACIÓN ADECUADA Y NIVELACION ESCOLAR CHICOS Y BEBES,PRI,USAQUÉN,CL 152 A 17 25,LOS CEDROS,2792357,29/01/2007275,,GIMNASIO GRANDES MARAVILLAS,PRI,ENGATIVÁ,CL 55 73 A 20,SANTA CECILIA,4906680 - 2953705,30/01/2007
275,,GIMNASIO GRANDES MARAVILLAS,PRI,ENGATIVÁ,CL 55 73 A 20,SANTA CECILIA,4906680 - 2953705,30/01/2007276,,JARDÍN INFANTIL MIS PEQUEÑOS AMIGOS,PRI,USAQUÉN,KR 10 134 B 42,LOS CEDROS,5276149,30/01/2007
276,,JARDÍN INFANTIL MIS PEQUEÑOS AMIGOS,PRI,USAQUÉN,KR 10 134 B 42,LOS CEDROS,5276149,30/01/2007278,,LOS COLORES DEL ARCO IRIS,PRI,BARRIOS UNIDOS,CL 65 A 57 18,"DOCE DE OCTUBRE",3118081,30/01/2007
